Id,Time[ns],1:I²C: Address/Data
403,4056077500.00,Address read: A1
404,4056867500.00,Read
405,4056980000.00,ACK
406,4057095000.00,Data read: 00
407,4057735000.00,ACK
408,4057850000.00,Data read: 76
409,4058490000.00,ACK
410,4058605000.00,Data read: 02
411,4059245000.00,ACK
412,4059360000.00,Data read: 51
413,4060000000.00,ACK
414,4060115000.00,Data read: 00
415,4060755000.00,ACK
416,4060870000.00,Data read: 6F
417,4061512500.00,ACK
418,4061625000.00,Data read: 40
419,4062267500.00,ACK
420,4062380000.00,Data read: 00
421,4063022500.00,ACK
422,4063135000.00,Data read: 00
423,4063777500.00,ACK
424,4063890000.00,Data read: 00
425,4064532500.00,ACK
426,4064645000.00,Data read: 2C
427,4065287500.00,ACK
428,4065400000.00,Data read: 38
429,4066042500.00,ACK
430,4066155000.00,Data read: 00
431,4066797500.00,ACK
432,4066910000.00,Data read: 00
433,4067552500.00,ACK
434,4067667500.00,Data read: 00
435,4068307500.00,ACK
436,4068420000.00,Data read: 00
437,4069062500.00,ACK
438,4069177500.00,Data read: 00
439,4069820000.00,ACK
440,4069932500.00,Data read: 00
441,4070575000.00,ACK
442,4070687500.00,Data read: 00
443,4071330000.00,ACK
444,4071442500.00,Data read: 00
445,4072085000.00,ACK
446,4072197500.00,Data read: 00
447,4072840000.00,ACK
448,4072952500.00,Data read: 00
449,4073595000.00,ACK
450,4073707500.00,Data read: 00
451,4074350000.00,ACK
452,4074462500.00,Data read: 00
453,4075105000.00,ACK
454,4075217500.00,Data read: 00
455,4075860000.00,ACK
456,4075972500.00,Data read: 00
457,4076615000.00,ACK
458,4076727500.00,Data read: 00
459,4077372500.00,ACK
460,4077485000.00,Data read: 00
461,4078125000.00,ACK
462,4078240000.00,Data read: 10
463,4078882500.00,ACK
464,4078995000.00,Data read: 00
465,4079635000.00,ACK
466,4079750000.00,Data read: 00
467,4080392500.00,ACK
468,4080505000.00,Data read: 00
469,4081147500.00,ACK
470,4081260000.00,Data read: 00
471,4081902500.00,ACK
472,4082015000.00,Data read: 00
473,4082657500.00,ACK
474,4082770000.00,Data read: 00
475,4083412500.00,ACK
476,4083525000.00,Data read: 00
477,4084167500.00,ACK
478,4084280000.00,Data read: 00
479,4084922500.00,ACK
480,4085037500.00,Data read: 00
481,4085677500.00,ACK
482,4085792500.00,Data read: 00
483,4086432500.00,ACK
484,4086547500.00,Data read: 00
485,4087187500.00,ACK
486,4087302500.00,Data read: 00
487,4087945000.00,ACK
488,4088057500.00,Data read: 00
489,4088697500.00,ACK
490,4088812500.00,Data read: 00
491,4089452500.00,ACK
492,4089567500.00,Data read: 00
493,4090210000.00,ACK
494,4090322500.00,Data read: 00
495,4090965000.00,ACK
496,4091077500.00,Data read: 00
497,4091720000.00,ACK
498,4091832500.00,Data read: EA
499,4092475000.00,NACK
500,4092587500.00,Stop
501,4092667500.00,Start
502,4092782500.00,Address write: A0
503,4093572500.00,Write
504,4093685000.00,ACK
505,4093802500.00,Data write: 3F
506,4094702500.00,ACK
507,4094817500.00,Start repeat
508,4094932500.00,Address read: A1
509,4095722500.00,Read
510,4095835000.00,ACK
511,4095947500.00,Data read: F0
512,4096590000.00,NACK
513,4096702500.00,Stop
514,4096785000.00,Start
515,4096900000.00,Address write: A0
516,4097687500.00,Write
517,4097800000.00,ACK
518,4097917500.00,Data write: FC
519,4098820000.00,ACK
520,4098932500.00,Start repeat
521,4099047500.00,Address read: A1
522,4099837500.00,Read
523,4099950000.00,ACK
524,4100065000.00,Data read: 00
525,4100707500.00,NACK
526,4100820000.00,Stop
527,5471277500.00,Start
