Id,Time[ns],Parallel: Items
483,703431550.00,C0001003
484,703432050.00,C0001003
485,703433650.00,C0001003
486,703434150.00,C0001003
487,703435750.00,C0001003
488,703436250.00,C0001003
489,703437850.00,C0001003
490,703438350.00,C0001003
491,703439950.00,C0001003
492,703440450.00,C0001003
493,703442000.00,C0001003
494,703442500.00,C0001003
495,703444100.00,C0001003
496,703444600.00,C0001003
497,703446200.00,C0001003
498,703446700.00,C0001003
499,703448300.00,C0001003
500,703448800.00,C0001003
501,703450350.00,C0001003
502,703450850.00,C0001003
503,703452450.00,C0001003
504,703452950.00,C0001003
505,703454550.00,C0001003
506,703455050.00,C0001003
507,703456650.00,C0001003
508,703457150.00,C0001003
509,703458750.00,C0001003
510,703459250.00,C0001003
511,703460850.00,C0001003
512,703461350.00,C0001003
513,703462950.00,C0001003
514,703463450.00,C0001003
515,703465050.00,C0001003
516,703465550.00,C0001003
517,703467150.00,C0001003
518,703467650.00,C0001003
519,703469250.00,C0001003
520,703469750.00,C0001003
521,703471350.00,C0001003
522,703471850.00,C0001003
523,703473400.00,C0001003
524,703473900.00,C0001003
525,703475500.00,C0001003
526,703476000.00,C0001003
527,703477600.00,C0001003
528,703478100.00,C0001003
529,703479700.00,C0001003
530,703480200.00,C0001003
531,703481750.00,C0001003
532,703482250.00,C0001003
533,703483850.00,C0001003
534,703484350.00,C0001003
535,703485950.00,C0001003
536,703486450.00,C0001003
537,703488050.00,C0001003
538,703488550.00,C0001003
539,703490150.00,C0001003
540,703490650.00,C0001003
541,703492250.00,C0001003
542,703492750.00,C0001003
543,703494350.00,C0001003
544,703494850.00,C0001003
545,703496450.00,C0001003
546,703496950.00,C0001003
547,703498550.00,C0001003
548,703499050.00,C0001003
549,703500650.00,C0001003
550,703501150.00,C0001003
551,703502750.00,C0001003
552,703503250.00,C0001003
553,703504800.00,C0001003
554,703505300.00,C0001003
555,703506900.00,C0001003
556,703507400.00,C0001003
557,703509000.00,C0001003
558,703509500.00,C0001003
559,703511100.00,C0001003
560,703511600.00,C0001003
561,703513150.00,C0001003
562,703513650.00,C0001003
563,703515250.00,C0001003
564,703515750.00,C0001003
565,703517350.00,C0001003
566,703517850.00,C0001003
567,703519450.00,C0001003
568,703519950.00,C0001003
569,703521550.00,C0001003
570,703522050.00,C0001003
571,703523650.00,C0001003
572,703524150.00,C0001003
573,703525750.00,C0001003
574,703526250.00,C0001003
575,703527850.00,C0001003
576,703528350.00,C0001003
577,703529950.00,C0001003
578,703530450.00,C0001003
579,703532050.00,C0001003
580,703532550.00,C0001003
581,703534150.00,C0001003
582,703534650.00,C0001003
583,703536550.00,C0001003
584,712257100.00,80000300
585,712284500.00,90000000
586,712284750.00,90000000
587,712293350.00,80000000
588,712294350.00,80000002
589,712295300.00,80000004
590,712296600.00,80000204
591,712297550.00,80000302
592,712298750.00,80000100
593,712302350.00,90000203
594,712303300.00,90000000
595,712304750.00,90000000
596,712305900.00,90000000
597,712307350.00,90000200
598,712308500.00,90000200
599,712374050.00,C0001003
600,712380350.00,0000C007
601,712381000.00,D000D404
602,712381300.00,D0001404
603,712389750.00,E0000404
604,712395750.00,F0001000
605,712405950.00,90000000
606,712406200.00,90000000
607,712429000.00,10000000
608,712436450.00,00000000
609,712438550.00,10000001
610,712440150.00,00000007
611,712442100.00,10000002
612,712443700.00,0000FF00
613,712445200.00,10000003
614,712446800.00,0000FF07
615,712448450.00,10000004
616,712450400.00,00000000
617,712451900.00,10000005
618,712453500.00,00000007
619,712455450.00,10000006
620,712457050.00,0000FF00
621,712458300.00,10000007
622,712459900.00,0000FF07
623,712461600.00,10000000
624,712463200.00,0000FF07
625,712464750.00,10000001
626,712466350.00,0000FF00
627,712468050.00,10000002
628,712469450.00,00000007
629,712471000.00,10000003
630,712472600.00,00000000
631,712474250.00,10000004
632,712475850.00,0000FF07
633,712477400.00,10000005
634,712479000.00,0000FF00
635,712480750.00,10000006
636,712482350.00,00000007
637,712483900.00,10000007
638,712485500.00,00000000
639,712487300.00,10000000
640,712488900.00,00000000
641,712490750.00,10000001
642,712492250.00,00000000
643,712493750.00,10000002
644,712495350.00,00000000
645,712496850.00,10000003
646,712498450.00,00000000
647,712499950.00,10000004
648,712501550.00,00000000
649,712502950.00,10000005
650,712504550.00,00000000
651,712506050.00,10000006
652,712507650.00,00000000
653,712509150.00,10000007
654,712510750.00,00000000
655,712512250.00,10000000
656,712513850.00,00000000
657,712515350.00,10000001
658,712516950.00,00000000
659,712518450.00,10000002
660,712520050.00,00000000
661,712521550.00,10000003
662,712523150.00,00000000
663,712524650.00,10000004
664,712526100.00,00000000
665,712527600.00,10000005
666,712529200.00,00000000
667,712530700.00,10000006
668,712532300.00,00000000
669,712533800.00,10000007
670,712535400.00,00000000
671,712536900.00,10000000
672,712538500.00,00000000
673,712540000.00,10000001
674,712541600.00,00000000
675,712543100.00,10000002
676,712544700.00,00000000
677,712546200.00,10000003
678,712547800.00,00000000
679,712549250.00,10000004
680,712550850.00,00000000
681,712552350.00,10000005
682,712553950.00,00000000
683,712555450.00,10000006
684,712557050.00,00000000
685,712558550.00,10000007
686,712560000.00,00000000
687,712561500.00,10000000
688,712563100.00,00000000
689,712564600.00,10000001
690,712566200.00,00000000
691,712567700.00,10000002
692,712569300.00,00000000
693,712570800.00,10000003
694,712572400.00,00000000
695,712573900.00,10000004
696,712575500.00,00000000
697,712577000.00,10000005
698,712578600.00,00000000
699,712580100.00,10000006
700,712581700.00,00000000
701,712583100.00,10000007
702,712584700.00,00000000
703,712586200.00,10000000
704,712587800.00,00000000
705,712589300.00,10000001
706,712590900.00,00000000
707,712592400.00,10000002
708,712593750.00,00000000
709,712595250.00,10000003
710,712596850.00,00000000
711,712598350.00,10000004
712,712599950.00,00000000
713,712601450.00,10000005
714,712603050.00,00000000
715,712604550.00,10000006
716,712606050.00,00000000
717,712607550.00,10000007
718,712609150.00,00000000
719,712610650.00,10000000
720,712612250.00,00000000
721,712613750.00,10000001
722,712615350.00,00000000
723,712616800.00,10000002
724,712618400.00,00000000
725,712619900.00,10000003
726,712621500.00,00000000
727,712623000.00,10000004
728,712624600.00,00000000
729,712626100.00,10000005
730,712627700.00,00000000
731,712629200.00,10000006
732,712630800.00,00000000
733,712632300.00,10000007
734,712633900.00,00000000
735,712635400.00,10000000
736,712637000.00,00000000
737,712638500.00,10000001
738,712639950.00,00000000
739,712641450.00,10000002
740,712643050.00,00000000
741,712644550.00,10000003
742,712646150.00,00000000
743,712647650.00,10000004
744,712649250.00,00000000
745,712650750.00,10000005
746,712652350.00,00000000
747,712653850.00,10000006
748,712655450.00,00000000
749,712656950.00,10000007
750,712658550.00,00000000
751,712660050.00,10000000
752,712661650.00,00000000
753,712663100.00,10000001
754,712664700.00,00000000
755,712666200.00,10000002
756,712667800.00,00000000
757,712669300.00,10000003
758,712670900.00,00000000
759,712672400.00,10000004
760,712673850.00,00000000
761,712675350.00,10000005
762,712676950.00,00000000
763,712678450.00,10000006
764,712680050.00,00000000
765,712681550.00,10000007
766,712683150.00,00000000
767,712684650.00,10000000
768,712686250.00,00000000
769,712687750.00,10000001
770,712689350.00,00000000
771,712690850.00,10000002
772,712692450.00,00000000
773,712693950.00,10000003
774,712695550.00,00000000
775,712696950.00,10000004
776,712698550.00,00000000
777,712700050.00,10000005
778,712701650.00,00000000
779,712703150.00,10000006
780,712704750.00,00000000
781,712706250.00,10000007
782,712707600.00,00000000
783,712709100.00,10000000
784,712710700.00,00000000
785,712712200.00,10000001
786,712713800.00,00000000
787,712715300.00,10000002
788,712716900.00,00000000
789,712718400.00,10000003
790,712719900.00,00000000
791,712721400.00,10000004
792,712723000.00,00000000
793,712724500.00,10000005
794,712726100.00,00000000
795,712727600.00,10000006
796,712729200.00,00000000
797,712730650.00,10000007
798,712732250.00,00000000
799,712733750.00,10000000
800,712735350.00,00000000
801,712736850.00,10000001
802,712738450.00,00000000
803,712739950.00,10000002
804,712741550.00,00000000
805,712743050.00,10000003
806,712744650.00,00000000
807,712746150.00,10000004
808,712747750.00,00000000
809,712749250.00,10000005
810,712750850.00,00000000
811,712752350.00,10000006
812,712753800.00,00000000
813,712755300.00,10000007
814,712756900.00,00000000
815,712758400.00,10000000
816,712760000.00,00000000
817,712761500.00,10000001
818,712763100.00,00000000
819,712764600.00,10000002
820,712766200.00,00000000
821,712767700.00,10000003
